OBJECTID,Common,Scientific,Family,Genus,Species,Condition,Crown Height,Edible,longitude,latitude
1,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,67,no,-122.6746071,45.51976461
2,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,40,no,-122.6745089,45.51997561
3,Western redcedar,Thuja plicata,Cupressaceae,Thuja,THPL,Good,38,no,-122.6732601,45.51846658
4,Western redcedar,Thuja plicata,Cupressaceae,Thuja,THPL,Good,50,no,-122.673274,45.51842695
5,Western redcedar,Thuja plicata,Cupressaceae,Thuja,THPL,Good,54,no,-122.6733133,45.51847553
6,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,13,no,-122.6728258,45.51776407
7,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,16,no,-122.672642,45.51783539
8,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,15,no,-122.6740486,45.51506031
9,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,60,no,-122.6739755,45.51519242
10,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,32,no,-122.6739221,45.51529226
11,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,61,no,-122.6738874,45.51535865
12,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,36,no,-122.6807534,45.51532369
13,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,22,no,-122.6741841,45.51477343
14,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,44,no,-122.6742142,45.5147142
15,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,46,no,-122.677797,45.52303926
16,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,10,no,-122.6782093,45.52303125
17,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,65,no,-122.6756771,45.51898727
18,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,29,no,-122.6754566,45.51892885
19,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,22,no,-122.679447,45.51516582
20,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,11,no,-122.6779403,45.51502157
21,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,31,no,-122.6780409,45.51504824
22,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,31,no,-122.6781282,45.5150716
23,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,61,no,-122.6735166,45.51603258
24,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,38,no,-122.6735979,45.51588398
25,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,26,no,-122.6736397,45.51580645
26,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,39,no,-122.6736969,45.51570844
27,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,29,no,-122.6737326,45.51563776
28,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,14,no,-122.674646,45.51969846
29,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,37,no,-122.6744465,45.52009925
30,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,19,no,-122.673176,45.51873793
31,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,57,no,-122.6732004,45.51869426
32,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,10,no,-122.673216,45.51865971
33,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,47,no,-122.6732382,45.51862895
34,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,41,no,-122.6717024,45.5193914
35,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,29,no,-122.6717164,45.51933813
36,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,14,no,-122.6718867,45.51928746
37,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,18,no,-122.6718601,45.5192072
38,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,18,no,-122.6718624,45.51911625
39,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,68,no,-122.6719455,45.5189551
40,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,26,no,-122.6720557,45.51875427
41,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,52,no,-122.6720779,45.51870724
42,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,50,no,-122.6730943,45.5188992
43,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,24,no,-122.6731102,45.51886264
44,incense cedar,Calocedrus decurrens,Cupressaceae,Calocedrus,CADE,Good,24,no,-122.6731538,45.51878094
45,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,23,no,-122.6759353,45.52134623
46,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,50,no,-122.6779629,45.5157361
47,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,46,no,-122.6780432,45.51558711
48,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,41,no,-122.6781561,45.51537705
49,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,61,no,-122.6756279,45.52307305
50,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,29,no,-122.6757376,45.52307139
51,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,67,no,-122.6764182,45.51862914
52,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,53,no,-122.6763541,45.51871456
